,year,state_short,state_long,indicator,value
1604,1985,NAT,National Total,Bachelor Total,87909
1605,1985,NAT,National Total,Elementary Total,47901
1606,1985,NAT,National Total,Masters Total,74172
1607,1985,NAT,National Total,Other Total,91246
1608,1985,NAT,National Total,PhD Total,6524
1609,1985,NAT,National Total,SPED Total,19157
1610,1985,NAT,National Total,State Total,168605
1611,1985,NAT,National Total,STEM Total,10301
1625,1985,NC,North Carolina,Bachelor Total,2649
1626,1985,NC,North Carolina,Elementary Total,1473
1627,1985,NC,North Carolina,Masters Total,1790
1628,1985,NC,North Carolina,Other Total,1893
1629,1985,NC,North Carolina,PhD Total,99
1630,1985,NC,North Carolina,SPED Total,493
1631,1985,NC,North Carolina,State Total,4538
1632,1985,NC,North Carolina,STEM Total,679
1646,1985,ND,North Dakota,Bachelor Total,707
1647,1985,ND,North Dakota,Elementary Total,303
1648,1985,ND,North Dakota,Masters Total,189
1649,1985,ND,North Dakota,Other Total,449
1650,1985,ND,North Dakota,PhD Total,26
1651,1985,ND,North Dakota,SPED Total,100
1652,1985,ND,North Dakota,State Total,922
1653,1985,ND,North Dakota,STEM Total,70
1667,1985,NE,Nebraska,Bachelor Total,1392
1668,1985,NE,Nebraska,Elementary Total,743
1669,1985,NE,Nebraska,Masters Total,582
1670,1985,NE,Nebraska,Other Total,996
1671,1985,NE,Nebraska,PhD Total,52
1672,1985,NE,Nebraska,SPED Total,157
1673,1985,NE,Nebraska,State Total,2026
1674,1985,NE,Nebraska,STEM Total,130
1688,1985,NH,New Hampshire,Bachelor Total,336
1689,1985,NH,New Hampshire,Elementary Total,185
1690,1985,NH,New Hampshire,Masters Total,278
1691,1985,NH,New Hampshire,Other Total,358
1692,1985,NH,New Hampshire,PhD Total,0
1693,1985,NH,New Hampshire,SPED Total,48
1694,1985,NH,New Hampshire,State Total,614
1695,1985,NH,New Hampshire,STEM Total,23
1709,1985,NJ,New Jersey,Bachelor Total,1862
1710,1985,NJ,New Jersey,Elementary Total,1060
1711,1985,NJ,New Jersey,Masters Total,1756
1712,1985,NJ,New Jersey,Other Total,1771
1713,1985,NJ,New Jersey,PhD Total,107
1714,1985,NJ,New Jersey,SPED Total,678
1715,1985,NJ,New Jersey,State Total,3725
1716,1985,NJ,New Jersey,STEM Total,216
1730,1985,NM,New Mexico,Bachelor Total,587
1731,1985,NM,New Mexico,Elementary Total,348
1732,1985,NM,New Mexico,Masters Total,681
1733,1985,NM,New Mexico,Other Total,825
1734,1985,NM,New Mexico,PhD Total,52
1735,1985,NM,New Mexico,SPED Total,115
1736,1985,NM,New Mexico,State Total,1320
1737,1985,NM,New Mexico,STEM Total,32
1751,1985,NV,Nevada,Bachelor Total,226
1752,1985,NV,Nevada,Elementary Total,94
1753,1985,NV,Nevada,Masters Total,198
1754,1985,NV,Nevada,Other Total,283
1755,1985,NV,Nevada,PhD Total,13
1756,1985,NV,Nevada,SPED Total,55
1757,1985,NV,Nevada,State Total,437
1758,1985,NV,Nevada,STEM Total,5
1772,1985,NY,New York,Bachelor Total,4649
1773,1985,NY,New York,Elementary Total,3315
1774,1985,NY,New York,Masters Total,7451
1775,1985,NY,New York,Other Total,5666
1776,1985,NY,New York,PhD Total,512
1777,1985,NY,New York,SPED Total,3230
1778,1985,NY,New York,State Total,12612
1779,1985,NY,New York,STEM Total,401
1793,1985,OH,Ohio,Bachelor Total,4327
1794,1985,OH,Ohio,Elementary Total,2122
1795,1985,OH,Ohio,Masters Total,3821
1796,1985,OH,Ohio,Other Total,5055
1797,1985,OH,Ohio,PhD Total,330
1798,1985,OH,Ohio,SPED Total,866
1799,1985,OH,Ohio,State Total,8478
1800,1985,OH,Ohio,STEM Total,435
1814,1985,OK,Oklahoma,Bachelor Total,2331
1815,1985,OK,Oklahoma,Elementary Total,1231
1816,1985,OK,Oklahoma,Masters Total,1336
1817,1985,OK,Oklahoma,Other Total,1968
1818,1985,OK,Oklahoma,PhD Total,147
1819,1985,OK,Oklahoma,SPED Total,311
1820,1985,OK,Oklahoma,State Total,3814
1821,1985,OK,Oklahoma,STEM Total,304
1835,1985,OR,Oregon,Bachelor Total,1338
1836,1985,OR,Oregon,Elementary Total,675
1837,1985,OR,Oregon,Masters Total,965
1838,1985,OR,Oregon,Other Total,1434
1839,1985,OR,Oregon,PhD Total,103
1840,1985,OR,Oregon,SPED Total,122
1841,1985,OR,Oregon,State Total,2406
1842,1985,OR,Oregon,STEM Total,175
1856,1985,PA,Pennsylvania,Bachelor Total,4657
1857,1985,PA,Pennsylvania,Elementary Total,2202
1858,1985,PA,Pennsylvania,Masters Total,2582
1859,1985,PA,Pennsylvania,Other Total,3685
1860,1985,PA,Pennsylvania,PhD Total,444
1861,1985,PA,Pennsylvania,SPED Total,1310
1862,1985,PA,Pennsylvania,State Total,7683
1863,1985,PA,Pennsylvania,STEM Total,486
1877,1985,RI,Rhode Island,Bachelor Total,281
1878,1985,RI,Rhode Island,Elementary Total,87
1879,1985,RI,Rhode Island,Masters Total,295
1880,1985,RI,Rhode Island,Other Total,301
1881,1985,RI,Rhode Island,PhD Total,0
1882,1985,RI,Rhode Island,SPED Total,146
1883,1985,RI,Rhode Island,State Total,576
1884,1985,RI,Rhode Island,STEM Total,42
1898,1985,SC,South Carolina,Bachelor Total,1737
1899,1985,SC,South Carolina,Elementary Total,1265
1900,1985,SC,South Carolina,Masters Total,1399
1901,1985,SC,South Carolina,Other Total,1583
1902,1985,SC,South Carolina,PhD Total,48
1903,1985,SC,South Carolina,SPED Total,224
1904,1985,SC,South Carolina,State Total,3184
1905,1985,SC,South Carolina,STEM Total,112
1919,1985,SD,South Dakota,Bachelor Total,754
1920,1985,SD,South Dakota,Elementary Total,309
1921,1985,SD,South Dakota,Masters Total,332
1922,1985,SD,South Dakota,Other Total,595
1923,1985,SD,South Dakota,PhD Total,30
1924,1985,SD,South Dakota,SPED Total,124
1925,1985,SD,South Dakota,State Total,1116
1926,1985,SD,South Dakota,STEM Total,88
1940,1985,TN,Tennessee,Bachelor Total,1929
1941,1985,TN,Tennessee,Elementary Total,1024
1942,1985,TN,Tennessee,Masters Total,1675
1943,1985,TN,Tennessee,Other Total,2304
1944,1985,TN,Tennessee,PhD Total,203
1945,1985,TN,Tennessee,SPED Total,305
1946,1985,TN,Tennessee,State Total,3807
1947,1985,TN,Tennessee,STEM Total,174
1961,1985,TX,Texas,Bachelor Total,7963
1962,1985,TX,Texas,Elementary Total,4404
1963,1985,TX,Texas,Masters Total,4520
1964,1985,TX,Texas,Other Total,7285
1965,1985,TX,Texas,PhD Total,393
1966,1985,TX,Texas,SPED Total,480
1967,1985,TX,Texas,State Total,12876
1968,1985,TX,Texas,STEM Total,707
1982,1985,UT,Utah,Bachelor Total,1490
1983,1985,UT,Utah,Elementary Total,860
1984,1985,UT,Utah,Masters Total,469
1985,1985,UT,Utah,Other Total,964
1986,1985,UT,Utah,PhD Total,117
1987,1985,UT,Utah,SPED Total,140
1988,1985,UT,Utah,State Total,2076
1989,1985,UT,Utah,STEM Total,112
2003,1985,VA,Virginia,Bachelor Total,1906
2004,1985,VA,Virginia,Elementary Total,934
2005,1985,VA,Virginia,Masters Total,1400
2006,1985,VA,Virginia,Other Total,1861
2007,1985,VA,Virginia,PhD Total,148
2008,1985,VA,Virginia,SPED Total,513
2009,1985,VA,Virginia,State Total,3454
2010,1985,VA,Virginia,STEM Total,146
2024,1985,VT,Vermont,Bachelor Total,347
2025,1985,VT,Vermont,Elementary Total,112
2026,1985,VT,Vermont,Masters Total,362
2027,1985,VT,Vermont,Other Total,442
2028,1985,VT,Vermont,PhD Total,0
2029,1985,VT,Vermont,SPED Total,135
2030,1985,VT,Vermont,State Total,709
2031,1985,VT,Vermont,STEM Total,20
2045,1985,WA,Washington,Bachelor Total,1452
2046,1985,WA,Washington,Elementary Total,485
2047,1985,WA,Washington,Masters Total,884
2048,1985,WA,Washington,Other Total,1549
2049,1985,WA,Washington,PhD Total,106
2050,1985,WA,Washington,SPED Total,276
2051,1985,WA,Washington,State Total,2442
2052,1985,WA,Washington,STEM Total,132
2066,1985,WI,Wisconsin,Bachelor Total,2572
2067,1985,WI,Wisconsin,Elementary Total,977
2068,1985,WI,Wisconsin,Masters Total,1457
2069,1985,WI,Wisconsin,Other Total,2391
2070,1985,WI,Wisconsin,PhD Total,133
2071,1985,WI,Wisconsin,SPED Total,529
2072,1985,WI,Wisconsin,State Total,4162
2073,1985,WI,Wisconsin,STEM Total,265
2087,1985,WV,West Virginia,Bachelor Total,1399
2088,1985,WV,West Virginia,Elementary Total,709
2089,1985,WV,West Virginia,Masters Total,825
2090,1985,WV,West Virginia,Other Total,1295
2091,1985,WV,West Virginia,PhD Total,48
2092,1985,WV,West Virginia,SPED Total,220
2093,1985,WV,West Virginia,State Total,2272
2094,1985,WV,West Virginia,STEM Total,48
2108,1985,WY,Wyoming,Bachelor Total,378
2109,1985,WY,Wyoming,Elementary Total,164
2110,1985,WY,Wyoming,Masters Total,65
2111,1985,WY,Wyoming,Other Total,196
2112,1985,WY,Wyoming,PhD Total,25
2113,1985,WY,Wyoming,SPED Total,28
2114,1985,WY,Wyoming,State Total,468
2115,1985,WY,Wyoming,STEM Total,80
2129,1986,AK,Alaska,Bachelor Total,117
2130,1986,AK,Alaska,Elementary Total,82
2131,1986,AK,Alaska,Masters Total,112
2132,1986,AK,Alaska,Other Total,132
2133,1986,AK,Alaska,PhD Total,0
2134,1986,AK,Alaska,SPED Total,15
2135,1986,AK,Alaska,State Total,229
2136,1986,AK,Alaska,STEM Total,0
2150,1986,AL,Alabama,Bachelor Total,1821
2151,1986,AL,Alabama,Elementary Total,1364
2152,1986,AL,Alabama,Masters Total,1520
2153,1986,AL,Alabama,Other Total,1503
2154,1986,AL,Alabama,PhD Total,98
2155,1986,AL,Alabama,SPED Total,382
2156,1986,AL,Alabama,State Total,3439
2157,1986,AL,Alabama,STEM Total,190
2171,1986,AR,Arkansas,Bachelor Total,1525
2172,1986,AR,Arkansas,Elementary Total,891
2173,1986,AR,Arkansas,Masters Total,814
2174,1986,AR,Arkansas,Other Total,1079
2175,1986,AR,Arkansas,PhD Total,30
2176,1986,AR,Arkansas,SPED Total,263
2177,1986,AR,Arkansas,State Total,2369
2178,1986,AR,Arkansas,STEM Total,136
2192,1986,AZ,Arizona,Bachelor Total,1100
2193,1986,AZ,Arizona,Elementary Total,782
2194,1986,AZ,Arizona,Masters Total,1169
2195,1986,AZ,Arizona,Other Total,1399
2196,1986,AZ,Arizona,PhD Total,126
2197,1986,AZ,Arizona,SPED Total,163
2198,1986,AZ,Arizona,State Total,2395
2199,1986,AZ,Arizona,STEM Total,51
2213,1986,CA, California,Bachelor Total,2386
2214,1986,CA, California,Elementary Total,797
2215,1986,CA, California,Masters Total,5676
2216,1986,CA, California,Other Total,7034
2217,1986,CA, California,PhD Total,482
2218,1986,CA, California,SPED Total,265
2219,1986,CA, California,State Total,8544
2220,1986,CA, California,STEM Total,448
2234,1986,CO,Colorado,Bachelor Total,935
2235,1986,CO,Colorado,Elementary Total,447
2236,1986,CO,Colorado,Masters Total,949
2237,1986,CO,Colorado,Other Total,1148
2238,1986,CO,Colorado,PhD Total,106
2239,1986,CO,Colorado,SPED Total,248
2240,1986,CO,Colorado,State Total,1990
2241,1986,CO,Colorado,STEM Total,147
2255,1986,CT,Connecticut,Bachelor Total,753
2256,1986,CT,Connecticut,Elementary Total,495
2257,1986,CT,Connecticut,Masters Total,1622
2258,1986,CT,Connecticut,Other Total,1409
2259,1986,CT,Connecticut,PhD Total,56
2260,1986,CT,Connecticut,SPED Total,435
2261,1986,CT,Connecticut,State Total,2431
2262,1986,CT,Connecticut,STEM Total,92
2276,1986,DE,Delaware,Bachelor Total,265
2277,1986,DE,Delaware,Elementary Total,123
2278,1986,DE,Delaware,Masters Total,109
2279,1986,DE,Delaware,Other Total,222
2280,1986,DE,Delaware,PhD Total,9
2281,1986,DE,Delaware,SPED Total,31
2282,1986,DE,Delaware,State Total,383
2283,1986,DE,Delaware,STEM Total,7
2297,1986,FL,Florida,Bachelor Total,2889
2298,1986,FL,Florida,Elementary Total,1896
2299,1986,FL,Florida,Masters Total,2819
2300,1986,FL,Florida,Other Total,3157
2301,1986,FL,Florida,PhD Total,397
2302,1986,FL,Florida,SPED Total,626
2303,1986,FL,Florida,State Total,6105
2304,1986,FL,Florida,STEM Total,426
2318,1986,GA,Georgia,Bachelor Total,2085
2319,1986,GA,Georgia,Elementary Total,1367
2320,1986,GA,Georgia,Masters Total,2626
2321,1986,GA,Georgia,Other Total,2647
2322,1986,GA,Georgia,PhD Total,200
2323,1986,GA,Georgia,SPED Total,488
2324,1986,GA,Georgia,State Total,4911
2325,1986,GA,Georgia,STEM Total,409
2339,1986,HI,Hawaii,Bachelor Total,267
2340,1986,HI,Hawaii,Elementary Total,201
2341,1986,HI,Hawaii,Masters Total,179
2342,1986,HI,Hawaii,Other Total,215
2343,1986,HI,Hawaii,PhD Total,4
2344,1986,HI,Hawaii,SPED Total,15
2345,1986,HI,Hawaii,State Total,450
2346,1986,HI,Hawaii,STEM Total,19
2360,1986,IA,Iowa,Bachelor Total,1909
2361,1986,IA,Iowa,Elementary Total,1066
2362,1986,IA,Iowa,Masters Total,753
2363,1986,IA,Iowa,Other Total,1334
2364,1986,IA,Iowa,PhD Total,140
2365,1986,IA,Iowa,SPED Total,176
2366,1986,IA,Iowa,State Total,2802
2367,1986,IA,Iowa,STEM Total,226
2381,1986,ID,Idaho,Bachelor Total,499
2382,1986,ID,Idaho,Elementary Total,283
2383,1986,ID,Idaho,Masters Total,268
2384,1986,ID,Idaho,Other Total,381
2385,1986,ID,Idaho,PhD Total,16
2386,1986,ID,Idaho,SPED Total,41
2387,1986,ID,Idaho,State Total,783
2388,1986,ID,Idaho,STEM Total,78
2402,1986,IL,Illinois,Bachelor Total,4153
2403,1986,IL,Illinois,Elementary Total,2038
2404,1986,IL,Illinois,Masters Total,3462
2405,1986,IL,Illinois,Other Total,3992
2406,1986,IL,Illinois,PhD Total,309
2407,1986,IL,Illinois,SPED Total,1042
2408,1986,IL,Illinois,State Total,7924
2409,1986,IL,Illinois,STEM Total,852
2423,1986,IN,Indiana,Bachelor Total,2230
2424,1986,IN,Indiana,Elementary Total,1780
2425,1986,IN,Indiana,Masters Total,2145
2426,1986,IN,Indiana,Other Total,2095
2427,1986,IN,Indiana,PhD Total,163
2428,1986,IN,Indiana,SPED Total,349
2429,1986,IN,Indiana,State Total,4538
2430,1986,IN,Indiana,STEM Total,314
2444,1986,KS,Kansas,Bachelor Total,1467
2445,1986,KS,Kansas,Elementary Total,974
2446,1986,KS,Kansas,Masters Total,1121
2447,1986,KS,Kansas,Other Total,1409
2448,1986,KS,Kansas,PhD Total,97
2449,1986,KS,Kansas,SPED Total,172
2450,1986,KS,Kansas,State Total,2685
2451,1986,KS,Kansas,STEM Total,130
2465,1986,KY,Kentucky,Bachelor Total,1494
2466,1986,KY,Kentucky,Elementary Total,1420
2467,1986,KY,Kentucky,Masters Total,1505
2468,1986,KY,Kentucky,Other Total,1203
2469,1986,KY,Kentucky,PhD Total,20
2470,1986,KY,Kentucky,SPED Total,253
2471,1986,KY,Kentucky,State Total,3019
2472,1986,KY,Kentucky,STEM Total,143
2486,1986,LA,Louisiana,Bachelor Total,1924
2487,1986,LA,Louisiana,Elementary Total,1116
2488,1986,LA,Louisiana,Masters Total,1408
2489,1986,LA,Louisiana,Other Total,1711
2490,1986,LA,Louisiana,PhD Total,30
2491,1986,LA,Louisiana,SPED Total,328
2492,1986,LA,Louisiana,State Total,3362
2493,1986,LA,Louisiana,STEM Total,207
2507,1986,MA,Massachusetts,Bachelor Total,1790
2508,1986,MA,Massachusetts,Elementary Total,825
2509,1986,MA,Massachusetts,Masters Total,2644
2510,1986,MA,Massachusetts,Other Total,3232
2511,1986,MA,Massachusetts,PhD Total,302
2512,1986,MA,Massachusetts,SPED Total,524
2513,1986,MA,Massachusetts,State Total,4736
2514,1986,MA,Massachusetts,STEM Total,155
2528,1986,MD,Maryland,Bachelor Total,808
2529,1986,MD,Maryland,Elementary Total,479
2530,1986,MD,Maryland,Masters Total,872
2531,1986,MD,Maryland,Other Total,977
2532,1986,MD,Maryland,PhD Total,117
2533,1986,MD,Maryland,SPED Total,202
2534,1986,MD,Maryland,State Total,1797
2535,1986,MD,Maryland,STEM Total,139
2549,1986,ME,Maine,Bachelor Total,525
2550,1986,ME,Maine,Elementary Total,143
2551,1986,ME,Maine,Masters Total,270
2552,1986,ME,Maine,Other Total,558
2553,1986,ME,Maine,PhD Total,7
2554,1986,ME,Maine,SPED Total,64
2555,1986,ME,Maine,State Total,802
2556,1986,ME,Maine,STEM Total,37
2570,1986,MI,Michigan,Bachelor Total,2185
2571,1986,MI,Michigan,Elementary Total,980
2572,1986,MI,Michigan,Masters Total,2878
2573,1986,MI,Michigan,Other Total,3098
2574,1986,MI,Michigan,PhD Total,301
2575,1986,MI,Michigan,SPED Total,881
2576,1986,MI,Michigan,State Total,5364
2577,1986,MI,Michigan,STEM Total,405
2591,1986,MN,Minnesota,Bachelor Total,2410
2592,1986,MN,Minnesota,Elementary Total,1301
2593,1986,MN,Minnesota,Masters Total,916
2594,1986,MN,Minnesota,Other Total,1492
2595,1986,MN,Minnesota,PhD Total,57
2596,1986,MN,Minnesota,SPED Total,258
2597,1986,MN,Minnesota,State Total,3383
2598,1986,MN,Minnesota,STEM Total,332
2612,1986,MO,Missouri,Bachelor Total,2791
2613,1986,MO,Missouri,Elementary Total,1486
2614,1986,MO,Missouri,Masters Total,2093
2615,1986,MO,Missouri,Other Total,2934
2616,1986,MO,Missouri,PhD Total,168
2617,1986,MO,Missouri,SPED Total,340
2618,1986,MO,Missouri,State Total,5052
2619,1986,MO,Missouri,STEM Total,292
2633,1986,MS,Mississippi,Bachelor Total,1304
2634,1986,MS,Mississippi,Elementary Total,785
2635,1986,MS,Mississippi,Masters Total,976
2636,1986,MS,Mississippi,Other Total,1194
2637,1986,MS,Mississippi,PhD Total,100
2638,1986,MS,Mississippi,SPED Total,214
2639,1986,MS,Mississippi,State Total,2380
2640,1986,MS,Mississippi,STEM Total,187
2654,1986,MT,Montana,Bachelor Total,722
2655,1986,MT,Montana,Elementary Total,376
2656,1986,MT,Montana,Masters Total,306
2657,1986,MT,Montana,Other Total,537
2658,1986,MT,Montana,PhD Total,16
2659,1986,MT,Montana,SPED Total,34
2660,1986,MT,Montana,State Total,1044
2661,1986,MT,Montana,STEM Total,97
2662,1986,NAT,National Total,Bachelor Total,86985
2663,1986,NAT,National Total,Elementary Total,49783
2664,1986,NAT,National Total,Masters Total,74277
2665,1986,NAT,National Total,Other Total,89913
2666,1986,NAT,National Total,PhD Total,6505
2667,1986,NAT,National Total,SPED Total,17630
2668,1986,NAT,National Total,State Total,167767
2669,1986,NAT,National Total,STEM Total,10441
2683,1986,NC,North Carolina,Bachelor Total,2397
2684,1986,NC,North Carolina,Elementary Total,1573
2685,1986,NC,North Carolina,Masters Total,1959
2686,1986,NC,North Carolina,Other Total,1892
2687,1986,NC,North Carolina,PhD Total,111
2688,1986,NC,North Carolina,SPED Total,450
2689,1986,NC,North Carolina,State Total,4467
2690,1986,NC,North Carolina,STEM Total,552
2704,1986,ND,North Dakota,Bachelor Total,684
2705,1986,ND,North Dakota,Elementary Total,305
2706,1986,ND,North Dakota,Masters Total,182
2707,1986,ND,North Dakota,Other Total,421
2708,1986,ND,North Dakota,PhD Total,10
2709,1986,ND,North Dakota,SPED Total,77
2710,1986,ND,North Dakota,State Total,876
2711,1986,ND,North Dakota,STEM Total,73
2725,1986,NE,Nebraska,Bachelor Total,1468
2726,1986,NE,Nebraska,Elementary Total,791
2727,1986,NE,Nebraska,Masters Total,545
2728,1986,NE,Nebraska,Other Total,1001
2729,1986,NE,Nebraska,PhD Total,53
2730,1986,NE,Nebraska,SPED Total,134
2731,1986,NE,Nebraska,State Total,2066
2732,1986,NE,Nebraska,STEM Total,140
2746,1986,NH,New Hampshire,Bachelor Total,311
2747,1986,NH,New Hampshire,Elementary Total,135
2748,1986,NH,New Hampshire,Masters Total,263
2749,1986,NH,New Hampshire,Other Total,355
2750,1986,NH,New Hampshire,PhD Total,0
2751,1986,NH,New Hampshire,SPED Total,63
2752,1986,NH,New Hampshire,State Total,574
2753,1986,NH,New Hampshire,STEM Total,21
2767,1986,NJ,New Jersey,Bachelor Total,1721
2768,1986,NJ,New Jersey,Elementary Total,1019
2769,1986,NJ,New Jersey,Masters Total,1610
2770,1986,NJ,New Jersey,Other Total,1619
2771,1986,NJ,New Jersey,PhD Total,103
2772,1986,NJ,New Jersey,SPED Total,583
2773,1986,NJ,New Jersey,State Total,3434
2774,1986,NJ,New Jersey,STEM Total,213
2788,1986,NM,New Mexico,Bachelor Total,552
2789,1986,NM,New Mexico,Elementary Total,443
2790,1986,NM,New Mexico,Masters Total,672
2791,1986,NM,New Mexico,Other Total,712
2792,1986,NM,New Mexico,PhD Total,60
2793,1986,NM,New Mexico,SPED Total,92
2794,1986,NM,New Mexico,State Total,1284
2795,1986,NM,New Mexico,STEM Total,37
2809,1986,NV,Nevada,Bachelor Total,190
2810,1986,NV,Nevada,Elementary Total,65
2811,1986,NV,Nevada,Masters Total,181
2812,1986,NV,Nevada,Other Total,261
2813,1986,NV,Nevada,PhD Total,11
2814,1986,NV,Nevada,SPED Total,50
2815,1986,NV,Nevada,State Total,382
2816,1986,NV,Nevada,STEM Total,6
2830,1986,NY,New York,Bachelor Total,4715
2831,1986,NY,New York,Elementary Total,3544
2832,1986,NY,New York,Masters Total,7268
2833,1986,NY,New York,Other Total,5413
2834,1986,NY,New York,PhD Total,466
2835,1986,NY,New York,SPED Total,3095
2836,1986,NY,New York,State Total,12449
2837,1986,NY,New York,STEM Total,397
2851,1986,OH,Ohio,Bachelor Total,4278
2852,1986,OH,Ohio,Elementary Total,2402
2853,1986,OH,Ohio,Masters Total,3720
2854,1986,OH,Ohio,Other Total,4749
2855,1986,OH,Ohio,PhD Total,330
2856,1986,OH,Ohio,SPED Total,749
2857,1986,OH,Ohio,State Total,8328
2858,1986,OH,Ohio,STEM Total,428
2872,1986,OK,Oklahoma,Bachelor Total,2503
2873,1986,OK,Oklahoma,Elementary Total,1297
2874,1986,OK,Oklahoma,Masters Total,1422
2875,1986,OK,Oklahoma,Other Total,2143
2876,1986,OK,Oklahoma,PhD Total,121
2877,1986,OK,Oklahoma,SPED Total,271
2878,1986,OK,Oklahoma,State Total,4046
2879,1986,OK,Oklahoma,STEM Total,335
2893,1986,OR,Oregon,Bachelor Total,1281
2894,1986,OR,Oregon,Elementary Total,696
2895,1986,OR,Oregon,Masters Total,953
2896,1986,OR,Oregon,Other Total,1330
2897,1986,OR,Oregon,PhD Total,107
2898,1986,OR,Oregon,SPED Total,103
2899,1986,OR,Oregon,State Total,2341
2900,1986,OR,Oregon,STEM Total,212
2914,1986,PA,Pennsylvania,Bachelor Total,4648
2915,1986,PA,Pennsylvania,Elementary Total,2360
2916,1986,PA,Pennsylvania,Masters Total,2588
2917,1986,PA,Pennsylvania,Other Total,3701
2918,1986,PA,Pennsylvania,PhD Total,455
2919,1986,PA,Pennsylvania,SPED Total,1209
2920,1986,PA,Pennsylvania,State Total,7691
2921,1986,PA,Pennsylvania,STEM Total,421
2935,1986,RI,Rhode Island,Bachelor Total,272
2936,1986,RI,Rhode Island,Elementary Total,111
2937,1986,RI,Rhode Island,Masters Total,316
2938,1986,RI,Rhode Island,Other Total,310
2939,1986,RI,Rhode Island,PhD Total,0
2940,1986,RI,Rhode Island,SPED Total,122
2941,1986,RI,Rhode Island,State Total,588
2942,1986,RI,Rhode Island,STEM Total,45
2956,1986,SC,South Carolina,Bachelor Total,1608
2957,1986,SC,South Carolina,Elementary Total,1300
2958,1986,SC,South Carolina,Masters Total,1448
2959,1986,SC,South Carolina,Other Total,1476
2960,1986,SC,South Carolina,PhD Total,73
2961,1986,SC,South Carolina,SPED Total,209
2962,1986,SC,South Carolina,State Total,3129
2963,1986,SC,South Carolina,STEM Total,144
2977,1986,SD,South Dakota,Bachelor Total,713
2978,1986,SD,South Dakota,Elementary Total,322
